,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,,
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.,,,,
time,volume,open,high,low,close
11/2/2018 12:00:00 AM,0.0,18.52,21.61,18.05,19.51
11/1/2018 12:00:00 AM,0.0,20.96,21.21,19.03,19.34
10/31/2018 12:00:00 AM,0.0,22.72,22.8,20.39,21.23
10/30/2018 12:00:00 AM,0.0,23.94,25.55,23.11,23.35
10/29/2018 12:00:00 AM,0.0,24.48,27.86,22.01,24.7
10/26/2018 12:00:00 AM,0.0,24.51,27.52,23.33,24.16
10/25/2018 12:00:00 AM,0.0,24.78,24.78,22.06,24.22
10/24/2018 12:00:00 AM,0.0,21.6,26.38,20.4,25.23
10/23/2018 12:00:00 AM,0.0,22.18,24.66,20.18,20.71
10/22/2018 12:00:00 AM,0.0,19.38,20.89,18.82,19.64
10/19/2018 12:00:00 AM,0.0,19.24,21.08,18.39,19.89
10/18/2018 12:00:00 AM,0.0,18.02,21.57,17.51,20.06
10/17/2018 12:00:00 AM,0.0,17.06,19.55,17.06,17.4
10/16/2018 12:00:00 AM,0.0,20.28,20.56,17.55,17.62
10/15/2018 12:00:00 AM,0.0,21.97,22.89,19.47,21.3
10/12/2018 12:00:00 AM,0.0,21.63,26.8,20.88,21.31
10/11/2018 12:00:00 AM,0.0,23.07,28.84,20.65,24.98
10/10/2018 12:00:00 AM,0.0,16.03,22.96,15.83,22.96
10/9/2018 12:00:00 AM,0.0,16.12,17.49,15.27,15.95
10/8/2018 12:00:00 AM,0.0,16.05,18.38,15.69,15.69
10/5/2018 12:00:00 AM,0.0,14.29,17.36,11.72,14.82
10/4/2018 12:00:00 AM,0.0,12.84,15.84,12.42,14.22
10/3/2018 12:00:00 AM,0.0,11.66,12.14,11.34,11.61
10/2/2018 12:00:00 AM,0.0,12.47,12.69,11.61,12.05
10/1/2018 12:00:00 AM,0.0,11.99,12.4,11.57,12.0
9/28/2018 12:00:00 AM,0.0,12.59,13.22,12.09,12.12
9/27/2018 12:00:00 AM,0.0,12.77,13.0,11.94,12.41
9/26/2018 12:00:00 AM,0.0,12.21,13.13,11.55,12.89
9/25/2018 12:00:00 AM,0.0,12.28,12.6,11.8,12.42
9/24/2018 12:00:00 AM,0.0,12.46,12.92,12.18,12.2
9/21/2018 12:00:00 AM,0.0,11.76,12.03,11.1,11.68
9/20/2018 12:00:00 AM,0.0,11.82,11.96,11.31,11.8
9/19/2018 12:00:00 AM,0.0,12.61,12.77,11.66,11.75
9/18/2018 12:00:00 AM,0.0,13.48,13.48,12.56,12.79
9/17/2018 12:00:00 AM,0.0,12.72,13.75,12.32,13.68
9/14/2018 12:00:00 AM,0.0,12.13,13.15,11.93,12.07
9/13/2018 12:00:00 AM,0.0,12.91,12.91,12.3,12.37
9/12/2018 12:00:00 AM,0.0,13.07,13.86,12.91,13.14
9/11/2018 12:00:00 AM,0.0,13.96,14.92,13.21,13.22
9/10/2018 12:00:00 AM,0.0,15.09,15.2,13.93,14.16
9/7/2018 12:00:00 AM,0.0,14.72,15.63,14.31,14.88
9/6/2018 12:00:00 AM,0.0,14.21,15.41,13.72,14.65
9/5/2018 12:00:00 AM,0.0,13.69,14.3,13.23,13.91
9/4/2018 12:00:00 AM,0.0,13.13,14.35,13.12,13.16
8/31/2018 12:00:00 AM,0.0,13.54,14.03,12.82,12.86
8/30/2018 12:00:00 AM,0.0,12.25,13.95,12.24,13.53
8/29/2018 12:00:00 AM,0.0,12.34,12.55,12.09,12.25
8/28/2018 12:00:00 AM,0.0,12.01,12.5,11.87,12.5
8/27/2018 12:00:00 AM,0.0,12.37,12.48,12.02,12.16
8/24/2018 12:00:00 AM,0.0,12.13,12.17,11.83,11.99
8/23/2018 12:00:00 AM,0.0,12.03,12.68,11.65,12.41
8/22/2018 12:00:00 AM,0.0,13.09,13.29,11.97,12.25
8/21/2018 12:00:00 AM,0.0,12.47,12.89,12.09,12.86
8/20/2018 12:00:00 AM,0.0,12.57,12.79,12.26,12.49
8/17/2018 12:00:00 AM,0.0,13.18,13.96,12.4,12.64
8/16/2018 12:00:00 AM,0.0,14.18,14.36,12.82,13.45
8/15/2018 12:00:00 AM,0.0,13.52,16.86,13.44,14.64
8/14/2018 12:00:00 AM,0.0,13.93,14.22,13.11,13.31
8/13/2018 12:00:00 AM,0.0,14.5,15.02,12.95,14.78
8/10/2018 12:00:00 AM,0.0,11.82,13.82,11.59,13.16
8/9/2018 12:00:00 AM,0.0,10.94,11.31,10.17,11.27
8/8/2018 12:00:00 AM,0.0,10.93,11.18,10.52,10.85
8/7/2018 12:00:00 AM,0.0,11.12,11.24,10.52,10.93
8/6/2018 12:00:00 AM,0.0,11.91,12.15,11.17,11.27
,,,,,
